#
# Transition date estimate for lacclair
#
# Site: lacclair
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2014
# Year max: 2024
# Final Processing Date: 2024-07-24
# Final Processing Time: 18:24:30
# Spline RMSE gcc_mean: 0.00334
# Spline RMSE gcc_50: 0.00366
# Spline RMSE gcc_75: 0.00369
# Spline RMSE gcc_90: 0.00389
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
lacclair,DB,1000,rising,gcc_90,2015-05-09,2015-05-13,2015-05-19,2015-05-07,2015-05-12,2015-05-17,2015-05-11,2015-05-14,2015-05-20,0.32282,0.33873,0.37633,0.31121,0.42854
lacclair,DB,1000,rising,gcc_90,2016-05-16,2016-05-18,2016-05-23,2016-05-15,2016-05-17,2016-05-21,2016-05-17,2016-05-20,2016-05-24,0.32499,0.33779,0.37759,0.31397,0.43286
lacclair,DB,1000,rising,gcc_90,2017-05-13,2017-05-17,2017-05-23,2017-05-11,2017-05-16,2017-05-21,2017-05-15,2017-05-19,2017-05-24,0.32248,0.33773,0.37307,0.31226,0.42545
lacclair,DB,1000,rising,gcc_90,2018-05-15,2018-05-19,2018-05-23,2018-05-14,2018-05-18,2018-05-22,2018-05-17,2018-05-20,2018-05-24,0.32232,0.34202,0.37272,0.31386,0.4296
lacclair,DB,1000,rising,gcc_90,2019-05-19,2019-05-23,2019-05-30,2019-05-18,2019-05-22,2019-05-29,2019-05-22,2019-05-25,2019-05-31,0.32244,0.33885,0.37458,0.31313,0.43448
lacclair,DB,1000,rising,gcc_90,2020-05-17,2020-05-20,2020-05-24,2020-05-16,2020-05-19,2020-05-23,2020-05-19,2020-05-21,2020-05-25,0.32011,0.34083,0.37363,0.31375,0.4284
lacclair,DB,1000,rising,gcc_90,2021-05-08,2021-05-11,2021-05-16,2021-05-06,2021-05-10,2021-05-14,2021-05-10,2021-05-12,2021-05-17,0.32547,0.34155,0.3783,0.31473,0.42853
lacclair,DB,1000,rising,gcc_90,2022-05-08,2022-05-10,2022-05-16,2022-05-07,2022-05-09,2022-05-14,2022-05-10,2022-05-12,2022-05-17,0.32461,0.33626,0.38019,0.31399,0.43271
lacclair,DB,1000,rising,gcc_90,2023-05-07,2023-05-11,2023-05-17,2023-05-05,2023-05-10,2023-05-15,2023-05-09,2023-05-12,2023-05-18,0.32445,0.34029,0.37266,0.31464,0.42341
lacclair,DB,1000,rising,gcc_90,2024-05-08,2024-05-11,2024-05-16,2024-05-07,2024-05-10,2024-05-14,2024-05-10,2024-05-13,2024-05-17,0.32472,0.33738,0.3767,0.31496,0.42878
